id,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id,total_additions,total_deletions,author_total_additions,author_total_deletions
16,1487807197,-8,mm/memory.c,2,3,4,8776,6854,1278,1781
18,1487807194,-8,mm/memory.c,2,2,4,8776,6854,1278,1781
21,1487807191,-8,mm/memory.c,0,6,4,8776,6854,1278,1781
159,1487806978,-8,mm/memory.c,10,3,22,8776,6854,35,3
165,1487806969,-8,mm/memory.c,25,0,22,8776,6854,35,3
280,1487806806,-8,mm/memory.c,4,4,41,8776,6854,6,8
288,1487806803,-8,mm/memory.c,2,4,41,8776,6854,6,8
12917,1484096244,-8,mm/memory.c,2,2,38,8776,6854,34,9
12919,1484096241,-8,mm/memory.c,30,7,38,8776,6854,34,9
13976,1483832251,-8,mm/memory.c,20,27,25,8776,6854,143,139
17381,1482608761,-8,mm/memory.c,1,1,92,8776,6854,265,123
18749,1481756870,-8,mm/memory.c,1,1,389,8776,6854,591,590
18752,1481756865,-8,mm/memory.c,2,2,389,8776,6854,591,590
18753,1481756862,-8,mm/memory.c,3,4,389,8776,6854,591,590
18755,1481756859,-8,mm/memory.c,39,27,389,8776,6854,591,590
18756,1481756856,-8,mm/memory.c,12,15,389,8776,6854,591,590
18757,1481756853,-8,mm/memory.c,29,29,389,8776,6854,591,590
18758,1481756850,-8,mm/memory.c,10,12,389,8776,6854,591,590
18759,1481756847,-8,mm/memory.c,37,40,389,8776,6854,591,590
18763,1481756844,-8,mm/memory.c,4,8,389,8776,6854,591,590
18765,1481756841,-8,mm/memory.c,35,9,389,8776,6854,591,590
18767,1481756838,-8,mm/memory.c,7,7,389,8776,6854,591,590
18771,1481756836,-8,mm/memory.c,41,41,389,8776,6854,591,590
18772,1481756833,-8,mm/memory.c,2,7,389,8776,6854,591,590
18773,1481756830,-8,mm/memory.c,28,38,389,8776,6854,591,590
18774,1481756827,-8,mm/memory.c,10,15,389,8776,6854,591,590
18776,1481756824,-8,mm/memory.c,18,17,389,8776,6854,591,590
18803,1481756821,-8,mm/memory.c,4,5,389,8776,6854,591,590
18813,1481756818,-8,mm/memory.c,284,284,389,8776,6854,591,590
18829,1481756812,-8,mm/memory.c,1,1,1508,8776,6854,33,29
19465,1481589872,-8,mm/memory.c,49,10,235,8776,6854,87,35
19537,1481589763,-8,mm/memory.c,6,15,235,8776,6854,87,35
19548,1481589760,-8,mm/memory.c,6,1,235,8776,6854,87,35
19563,1481589740,-8,mm/memory.c,2,2,5,8776,6854,42,29
27147,1479838010,-6,mm/memory.c,1,1,1224,8776,6854,1,1
33111,1478036605,-7,mm/memory.c,1,0,710,8776,6854,1,0
33519,1477503823,2,mm/memory.c,4,4,27,8776,6854,4,4
42250,1476318020,1,mm/memory.c,2,6,1508,8776,6854,33,29
42259,1476318019,1,mm/memory.c,3,8,1508,8776,6854,33,29
42261,1476318018,1,mm/memory.c,15,8,1508,8776,6854,33,29
42270,1476318017,1,mm/memory.c,5,1,1508,8776,6854,33,29
46108,1475884818,-7,mm/memory.c,6,2,197,8776,6854,31,15
46155,1475884746,-7,mm/memory.c,13,0,6,8776,6854,38,8
50790,1473634465,1,mm/memory.c,7,5,1508,8776,6854,33,29
57126,1473384653,-4,mm/memory.c,1,1,2413,8776,6854,145,37
74569,1470171745,-7,mm/memory.c,1,0,1186,8776,6854,14,0
74570,1470171742,-7,mm/memory.c,2,0,2436,8776,6854,2,0
76382,1469571995,-7,mm/memory.c,3,2,4,8776,6854,1278,1781
76402,1469571978,-7,mm/memory.c,1,1,4,8776,6854,1278,1781
76440,1469571940,-7,mm/memory.c,5,0,4,8776,6854,1278,1781
76444,1469571931,-7,mm/memory.c,1,0,4,8776,6854,1278,1781
76448,1469571929,-7,mm/memory.c,70,1,4,8776,6854,1278,1781
76452,1469571926,-7,mm/memory.c,2,2,4,8776,6854,1278,1781
76458,1469571923,-7,mm/memory.c,179,118,4,8776,6854,1278,1781
76467,1469571920,-7,mm/memory.c,275,306,4,8776,6854,1278,1781
76504,1469571918,-7,mm/memory.c,7,6,4,8776,6854,1278,1781
76512,1469571903,-7,mm/memory.c,1,1,2421,8776,6854,1,1
76564,1469571852,-7,mm/memory.c,9,1,235,8776,6854,87,35
76571,1469571849,-7,mm/memory.c,13,6,235,8776,6854,87,35
80840,1468523258,-7,mm/memory.c,1,2,25,8776,6854,143,139
92422,1466804988,-7,mm/memory.c,0,8,4,8776,6854,1278,1781
92425,1466804985,-7,mm/memory.c,5,18,4,8776,6854,1278,1781
105089,1463788724,-7,mm/memory.c,8,0,1186,8776,6854,14,0
105092,1463788721,-7,mm/memory.c,18,5,4,8776,6854,1278,1781
105120,1463788661,-7,mm/memory.c,3,2,1949,8776,6854,3,2
106158,1463070560,2,mm/memory.c,0,2,389,8776,6854,591,590
106162,1463070559,2,mm/memory.c,18,20,389,8776,6854,591,590
108495,1463092945,-7,mm/memory.c,13,8,20,8776,6854,270,65
111508,1462490529,-7,mm/memory.c,2,9,25,8776,6854,143,139
115716,1461885515,-7,mm/memory.c,40,0,616,8776,6854,40,0
125960,1459513788,3,mm/memory.c,0,1,4,8776,6854,1278,1781
126321,1459513787,3,mm/memory.c,21,32,4,8776,6854,1278,1781
129426,1458940824,-7,mm/memory.c,8,8,6,8776,6854,38,8
131049,1458249590,-7,mm/memory.c,7,10,467,8776,6854,12,15
131149,1458249551,-7,mm/memory.c,3,5,4,8776,6854,1278,1781
131942,1458079048,-7,mm/memory.c,1,2,3437,8776,6854,34,11
131994,1458079005,-7,mm/memory.c,3,1,3178,8776,6854,3,1
141915,1456528768,-8,mm/memory.c,12,2,20,8776,6854,270,65
147019,1455310944,-8,mm/memory.c,1,0,684,8776,6854,8,2
147030,1455310941,-8,mm/memory.c,2,1,684,8776,6854,8,2
147284,1455310939,-8,mm/memory.c,4,0,684,8776,6854,8,2
148513,1455310914,-8,mm/memory.c,1,1,684,8776,6854,8,2
154175,1454205796,-8,mm/memory.c,0,5,25,8776,6854,143,139
155133,1453830485,-8,mm/memory.c,7,2,197,8776,6854,31,15
158025,1453330990,-8,mm/memory.c,2,1,2485,8776,6854,2,1
159033,1452905812,-8,mm/memory.c,4,4,197,8776,6854,31,15
159050,1452905803,-8,mm/memory.c,1,1,197,8776,6854,31,15
159060,1452905800,-8,mm/memory.c,10,6,197,8776,6854,31,15
159175,1452905673,-8,mm/memory.c,2,3,4,8776,6854,1278,1781
159202,1452905629,-8,mm/memory.c,6,0,4,8776,6854,1278,1781
