,Unnamed: 0,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id
16,16,1487807197,-8,mm/memory.c,2,3,4
18,18,1487807194,-8,mm/memory.c,2,2,4
21,21,1487807191,-8,mm/memory.c,0,6,4
159,159,1487806978,-8,mm/memory.c,10,3,22
165,165,1487806969,-8,mm/memory.c,25,0,22
280,280,1487806806,-8,mm/memory.c,4,4,41
288,288,1487806803,-8,mm/memory.c,2,4,41
12917,12917,1484096244,-8,mm/memory.c,2,2,38
12919,12919,1484096241,-8,mm/memory.c,30,7,38
13976,13976,1483832251,-8,mm/memory.c,20,27,25
17381,17381,1482608761,-8,mm/memory.c,1,1,92
18749,18749,1481756870,-8,mm/memory.c,1,1,389
18752,18752,1481756865,-8,mm/memory.c,2,2,389
18753,18753,1481756862,-8,mm/memory.c,3,4,389
18755,18755,1481756859,-8,mm/memory.c,39,27,389
18756,18756,1481756856,-8,mm/memory.c,12,15,389
18757,18757,1481756853,-8,mm/memory.c,29,29,389
18758,18758,1481756850,-8,mm/memory.c,10,12,389
18759,18759,1481756847,-8,mm/memory.c,37,40,389
18763,18763,1481756844,-8,mm/memory.c,4,8,389
18765,18765,1481756841,-8,mm/memory.c,35,9,389
18767,18767,1481756838,-8,mm/memory.c,7,7,389
18771,18771,1481756836,-8,mm/memory.c,41,41,389
18772,18772,1481756833,-8,mm/memory.c,2,7,389
18773,18773,1481756830,-8,mm/memory.c,28,38,389
18774,18774,1481756827,-8,mm/memory.c,10,15,389
18776,18776,1481756824,-8,mm/memory.c,18,17,389
18803,18803,1481756821,-8,mm/memory.c,4,5,389
18813,18813,1481756818,-8,mm/memory.c,284,284,389
18829,18829,1481756812,-8,mm/memory.c,1,1,1508
19465,19465,1481589872,-8,mm/memory.c,49,10,235
19537,19537,1481589763,-8,mm/memory.c,6,15,235
19548,19548,1481589760,-8,mm/memory.c,6,1,235
19563,19563,1481589740,-8,mm/memory.c,2,2,5
27147,27147,1479838010,-6,mm/memory.c,1,1,1224
33111,33111,1478036605,-7,mm/memory.c,1,0,710
33519,33519,1477503823,2,mm/memory.c,4,4,27
42250,42250,1476318020,1,mm/memory.c,2,6,1508
42259,42259,1476318019,1,mm/memory.c,3,8,1508
