,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id,total_additions,total_deletions,author_total_additions,author_total_deletions
60,1487807143,-8,mm/swapfile.c,7,0,9,4254,2715,264,105
66,1487807139,-8,mm/swapfile.c,13,13,9,4254,2715,264,105
68,1487807136,-8,mm/swapfile.c,94,60,9,4254,2715,264,105
70,1487807133,-8,mm/swapfile.c,109,26,9,4254,2715,264,105
73,1487807129,-8,mm/swapfile.c,41,6,9,4254,2715,264,105
77,1487807126,-8,mm/swapfile.c,13,2,10,4254,2715,189,48
79,1487807122,-8,mm/swapfile.c,172,42,10,4254,2715,189,48
80,1487807119,-8,mm/swapfile.c,4,4,10,4254,2715,189,48
12881,1484096295,-8,mm/swapfile.c,19,1,1186,4254,2715,70,9
19455,1481589884,-8,mm/swapfile.c,6,7,25,4254,2715,96,133
32586,1478803579,-8,mm/swapfile.c,2,0,2105,4254,2715,2,0
46107,1475884821,-7,mm/swapfile.c,2,2,8,4254,2715,64,72
46177,1475884722,-7,mm/swapfile.c,62,70,8,4254,2715,64,72
53790,1474321455,-7,mm/swapfile.c,0,1,1364,4254,2715,0,1
76532,1469571882,-7,mm/swapfile.c,1,1,24,4254,2715,1,1
108496,1463092945,-7,mm/swapfile.c,6,6,20,4254,2715,9,8
126331,1459513787,3,mm/swapfile.c,6,6,4,4254,2715,16,11
131080,1458249587,-7,mm/swapfile.c,1,2,467,4254,2715,1,2
157665,1453495257,-5,mm/swapfile.c,6,6,1107,4254,2715,7,7
158026,1453330990,-8,mm/swapfile.c,1,1,2485,4254,2715,3,3
158040,1453330976,-8,mm/swapfile.c,2,2,2485,4254,2715,3,3
159000,1452905854,-8,mm/swapfile.c,4,14,25,4254,2715,96,133
159310,1452905544,-8,mm/swapfile.c,3,0,4,4254,2715,16,11
159318,1452905540,-8,mm/swapfile.c,5,3,4,4254,2715,16,11
159328,1452905536,-8,mm/swapfile.c,2,2,4,4254,2715,16,11
159759,1452813709,-8,mm/swapfile.c,4,5,3340,4254,2715,8,15
159821,1452813645,-8,mm/swapfile.c,4,10,3340,4254,2715,8,15
164149,1449244733,0,mm/swapfile.c,6,0,489,4254,2715,6,0
209657,1441749624,-7,mm/swapfile.c,42,0,1186,4254,2715,70,9
217548,1439858067,-7,mm/swapfile.c,7,18,25,4254,2715,96,133
238417,1434702628,2,mm/swapfile.c,1,1,6128,4254,2715,2,2
266083,1429139648,-7,mm/swapfile.c,1,1,5414,4254,2715,1,1
312381,1418255095,-8,mm/swapfile.c,1,1,1252,4254,2715,12,13
363243,1407532762,-7,mm/swapfile.c,3,3,1252,4254,2715,12,13
363258,1407532760,-7,mm/swapfile.c,7,7,1252,4254,2715,12,13
389987,1401923457,-7,mm/swapfile.c,3,26,3740,4254,2715,3,26
390077,1401923399,-7,mm/swapfile.c,89,55,582,4254,2715,161,153
390084,1401923393,-7,mm/swapfile.c,72,98,582,4254,2715,161,153
439346,1391717063,-8,mm/swapfile.c,10,1,3737,4254,2715,10,1
442977,1390521220,-8,mm/swapfile.c,2,1,7341,4254,2715,2,1
443063,1390521174,-8,mm/swapfile.c,4,4,3883,4254,2715,4,4
468825,1384297667,-8,mm/swapfile.c,1,1,2510,4254,2715,4,2
468826,1384297666,-8,mm/swapfile.c,7,7,9470,4254,2715,7,7
478948,1381956426,-7,mm/swapfile.c,3,1,2510,4254,2715,4,2
491831,1378934432,-7,mm/swapfile.c,90,34,6386,4254,2715,586,207
491832,1378934431,-7,mm/swapfile.c,27,4,6386,4254,2715,586,207
491834,1378934430,-7,mm/swapfile.c,112,79,6386,4254,2715,586,207
491836,1378934428,-7,mm/swapfile.c,248,39,6386,4254,2715,586,207
491856,1378934417,-7,mm/swapfile.c,13,17,1510,4254,2715,13,17
491857,1378934416,-7,mm/swapfile.c,10,2,9771,4254,2715,10,2
502336,1376434849,-7,mm/swapfile.c,17,2,2213,4254,2715,17,2
516295,1372888966,-7,mm/swapfile.c,49,5,7007,4254,2715,49,5
525403,1371071108,-7,mm/swapfile.c,1,1,1175,4254,2715,2,2
539191,1367360814,-7,mm/swapfile.c,9,8,1186,4254,2715,70,9
539436,1367277689,-7,mm/swapfile.c,1,1,1175,4254,2715,2,2
566073,1361579769,-8,mm/swapfile.c,14,1,25,4254,2715,96,133
566197,1361579678,-8,mm/swapfile.c,105,48,6386,4254,2715,586,207
566205,1361579677,-8,mm/swapfile.c,3,2,6386,4254,2715,586,207
566715,1358978858,-5,mm/swapfile.c,1,1,1107,4254,2715,7,7
594328,1355270576,-8,mm/swapfile.c,2,3,5,4254,2715,8,7
594337,1355270574,-8,mm/swapfile.c,1,1,5,4254,2715,8,7
594408,1355270474,-8,mm/swapfile.c,1,1,10629,4254,2715,342,301
594409,1355270473,-8,mm/swapfile.c,17,9,10629,4254,2715,342,301
607310,1353104095,-8,mm/swapfile.c,2,2,9916,4254,2715,2,2
622457,1349901790,-4,mm/swapfile.c,2,2,1049,4254,2715,7,7
622501,1349897128,-4,mm/swapfile.c,5,5,1049,4254,2715,7,7
650688,1343778328,-7,mm/swapfile.c,1,2,1252,4254,2715,12,13
650692,1343778320,-7,mm/swapfile.c,6,4,3636,4254,2715,66,95
650718,1343778297,-7,mm/swapfile.c,5,85,3636,4254,2715,66,95
650725,1343778295,-7,mm/swapfile.c,20,2,3636,4254,2715,66,95
650733,1343778287,-7,mm/swapfile.c,26,0,3636,4254,2715,66,95
